signal_time_exp,dir_exp,exp_pnl,key,signal_time_ea,entry_time,dir_ea,entry,stop,stop_pct,exit_time,exit_price,reason,pnl_points,pnl_usd,virtual_balance,pnl_diff
2025-03-12 02:00:00,L,-0.137545532029307,2025-03-12 02:00:00|L,2025-03-12 02:00:00,2025.03.12 06:00,L,66.329,66.19145,0.207,2025.03.12 06:00,66.19145,SL hit,-0.13755,-7.17757,710.57948,4.467970693006196e-06
2025-03-20 04:00:00,L,-0.3429971026094875,2025-03-20 04:00:00|L,2025-03-20 04:00:00,2025.03.20 08:00,L,67.28,66.937,0.51,2025.03.20 10:00,66.937,SL hit,-0.343,-7.10579,703.47369,2.8973905125129207e-06
2025-05-23 22:00:00,L,-0.4329999999999998,2025-05-23 22:00:00|L,2025-05-23 22:00:00,2025.05.26 02:00,L,61.542,60.99177,0.894,2025.05.27 04:00,61.109,opposite cross,-0.433,-5.4258,684.04876,2.220446049250313e-16
2025-07-01 16:00:00,L,-0.487987916867965,2025-07-01 16:00:00|L,2025-07-01 16:00:00,2025.07.01 20:00,L,65.051,64.56301,0.75,2025.07.02 06:00,64.56301,SL hit,-0.48799,-6.84049,677.20827,2.0831320349801175e-06
2025-08-14 18:00:00,L,-0.6001379133984628,2025-08-14 18:00:00|L,2025-08-14 18:00:00,2025.08.14 22:00,L,62.962,62.36186,0.953,2025.08.15 08:00,62.36186,SL hit,-0.60014,-6.77208,670.43619,2.0866015372211777e-06
2025-09-15 04:00:00,L,0.5430000000000064,2025-09-15 04:00:00|L,2025-09-15 04:00:00,2025.09.15 08:00,L,62.782,62.40613,0.599,2025.09.18 08:00,63.325,opposite cross,0.543,9.68547,680.12166,6.328271240363392e-15
2025-10-21 18:00:00,L,2.830999999999996,2025-10-21 18:00:00|L,2025-10-21 18:00:00,2025.10.21 22:00,L,57.52,56.96875,0.958,2025.10.28 08:00,60.351,opposite cross,2.831,34.92848,715.05014,3.9968028886505635e-15
2025-11-10 04:00:00,L,-0.3752729643194143,2025-11-10 04:00:00|L,2025-11-10 04:00:00,2025.11.10 08:00,L,60.108,59.73273,0.624,2025.11.10 10:00,59.73273,SL hit,-0.37527,-7.1505,707.89964,2.9643194143225138e-06
2025-11-26 22:00:00,L,0.5109999999999957,2025-11-26 22:00:00|L,2025-11-26 22:00:00,2025.11.27 02:00,L,58.246,58.03532,0.362,2025.12.02 18:00,58.757,opposite cross,0.511,16.99838,717.81902,4.3298697960381105e-15
2026-07-06 20:00:00,L,2.8499999999999943,2026-07-06 20:00:00|L,2026-07-06 20:00:00,2026.07.07 00:00,L,68.744,68.55727,0.272,2026.07.09 22:00,71.594,opposite cross,2.85,104.19114,786.82989,5.773159728050814e-15
