trade_key,signal_time,entry_time,dir,mode,stage,entry,stop,stop_distance,exit_time,exit_price,exit_reason,pnl_points
2026.01.22 08:30:00|L|S1,2026-01-22 08:30:00,2026-01-22 08:30:00,L,post_n3,1,4826.344,4815.365,10.97900000000027,2026-01-22 09:30:00,4815.365,SL hit,-10.97900000000027
2026.01.22 08:30:00|L|S2,2026-01-22 08:30:00,2026-01-22 08:30:00,L,post_n3,2,4826.344,4815.365,10.97900000000027,2026-01-22 09:30:00,4815.365,trail/SL hit,-10.97900000000027
2026.01.22 08:30:00|L|S3,2026-01-22 08:30:00,2026-01-22 08:30:00,L,post_n3,3,4826.344,4815.365,10.97900000000027,2026-01-22 09:30:00,4815.365,SL hit,-10.97900000000027
2026.01.22 09:00:00|L|S1,2026-01-22 09:00:00,2026-01-22 09:00:00,L,post_n4,1,4830.615,4816.548,14.067000000000007,2026-01-22 09:30:00,4816.548,SL hit,-14.067000000000007
2026.01.22 09:00:00|L|S2,2026-01-22 09:00:00,2026-01-22 09:00:00,L,post_n4,2,4830.615,4816.548,14.067000000000007,2026-01-22 09:30:00,4816.548,trail/SL hit,-14.067000000000007
2026.01.22 09:00:00|L|S3,2026-01-22 09:00:00,2026-01-22 09:00:00,L,post_n4,3,4830.615,4816.548,14.067000000000007,2026-01-22 09:30:00,4816.548,SL hit,-14.067000000000007
2026.01.22 09:30:00|L|S1,2026-01-22 09:30:00,2026-01-22 09:30:00,L,post_n5,1,4829.481,4817.545,11.935999999999694,2026-01-22 09:30:00,4817.545,SL hit,-11.935999999999694
2026.01.22 09:30:00|L|S2,2026-01-22 09:30:00,2026-01-22 09:30:00,L,post_n5,2,4829.481,4817.545,11.935999999999694,2026-01-22 09:30:00,4817.545,trail/SL hit,-11.935999999999694
2026.01.22 09:30:00|L|S3,2026-01-22 09:30:00,2026-01-22 09:30:00,L,post_n5,3,4829.481,4817.545,11.935999999999694,2026-01-22 09:30:00,4817.545,SL hit,-11.935999999999694
2026.01.23 08:30:00|S|S1,2026-01-23 08:30:00,2026-01-23 08:30:00,S,pre_cross,1,4913.331,4936.196,22.86499999999978,2026-01-23 12:00:00,4936.196,SL hit,-22.86499999999978
2026.01.23 08:30:00|S|S2,2026-01-23 08:30:00,2026-01-23 08:30:00,S,pre_cross,2,4913.331,4936.196,22.86499999999978,2026-01-23 12:00:00,4936.196,trail/SL hit,-22.86499999999978
2026.01.23 08:30:00|S|S3,2026-01-23 08:30:00,2026-01-23 08:30:00,S,pre_cross,3,4913.331,4936.196,22.86499999999978,2026-01-23 12:00:00,4936.196,SL hit,-22.86499999999978
2026.01.26 19:00:00|S|S1,2026-01-26 19:00:00,2026-01-26 19:00:00,S,pre_cross,1,5069.012,5079.634,10.622000000000298,2026-01-26 19:00:00,5047.767999999999,2.0R TP,21.244000000000597
2026.01.26 19:00:00|S|S2,2026-01-26 19:00:00,2026-01-26 19:00:00,S,pre_cross,2,5069.012,5079.634,10.622000000000298,2026-01-26 19:00:00,5026.5239999999985,4.0R forced,42.48800000000119
2026.01.26 19:00:00|S|S3,2026-01-26 19:00:00,2026-01-26 19:00:00,S,pre_cross,3,5069.012,5079.634,10.622000000000298,2026-01-27 02:30:00,5079.634,SL hit,-10.622000000000298
2026.01.27 04:00:00|L|S1,2026-01-27 04:00:00,2026-01-27 04:00:00,L,cross,1,5076.798,5055.559,21.238999999999578,2026-01-27 14:00:00,5055.559,SL hit,-21.238999999999578
2026.01.27 04:00:00|L|S2,2026-01-27 04:00:00,2026-01-27 04:00:00,L,cross,2,5076.798,5055.559,21.238999999999578,2026-01-27 14:00:00,5055.559,trail/SL hit,-21.238999999999578
2026.01.27 04:00:00|L|S3,2026-01-27 04:00:00,2026-01-27 04:00:00,L,cross,3,5076.798,5055.559,21.238999999999578,2026-01-27 14:00:00,5055.559,SL hit,-21.238999999999578
2026.01.27 04:30:00|L|S1,2026-01-27 04:30:00,2026-01-27 04:30:00,L,post_n2,1,5074.802,5061.652,13.149999999999636,2026-01-27 04:30:00,5061.652,SL hit,-13.149999999999636
2026.01.27 04:30:00|L|S2,2026-01-27 04:30:00,2026-01-27 04:30:00,L,post_n2,2,5074.802,5061.652,13.149999999999636,2026-01-27 04:30:00,5061.652,trail/SL hit,-13.149999999999636
2026.01.27 04:30:00|L|S3,2026-01-27 04:30:00,2026-01-27 04:30:00,L,post_n2,3,5074.802,5061.652,13.149999999999636,2026-01-27 04:30:00,5061.652,SL hit,-13.149999999999636
2026.01.27 05:00:00|L|S1,2026-01-27 05:00:00,2026-01-27 05:00:00,L,post_n3,1,5067.919,5062.142,5.777000000000044,2026-01-27 05:00:00,5062.142,SL hit,-5.777000000000044
2026.01.27 05:00:00|L|S2,2026-01-27 05:00:00,2026-01-27 05:00:00,L,post_n3,2,5067.919,5062.142,5.777000000000044,2026-01-27 05:00:00,5062.142,trail/SL hit,-5.777000000000044
2026.01.27 05:00:00|L|S3,2026-01-27 05:00:00,2026-01-27 05:00:00,L,post_n3,3,5067.919,5062.142,5.777000000000044,2026-01-27 05:00:00,5062.142,SL hit,-5.777000000000044
2026.01.27 06:00:00|L|S1,2026-01-27 06:00:00,2026-01-27 06:00:00,L,post_n5,1,5082.906,5063.904,19.001999999999498,2026-01-27 14:00:00,5063.904,SL hit,-19.001999999999498
2026.01.27 06:00:00|L|S2,2026-01-27 06:00:00,2026-01-27 06:00:00,L,post_n5,2,5082.906,5063.904,19.001999999999498,2026-01-27 14:00:00,5063.904,trail/SL hit,-19.001999999999498
2026.01.27 06:00:00|L|S3,2026-01-27 06:00:00,2026-01-27 06:00:00,L,post_n5,3,5082.906,5063.904,19.001999999999498,2026-01-27 14:00:00,5063.904,SL hit,-19.001999999999498
