trade_key,signal_time,entry_time,dir,mode,stage,entry,stop,stop_distance,exit_time,exit_price,exit_reason,pnl_points
2026.01.26 20:30:00|S|S1,2026-01-26 20:30:00,2026-01-26 20:30:00,S,post_n3,1,5056.165,5070.134,13.969000000000051,2026-01-26 21:00:00,5035.211499999999,1.5R TP,20.953500000000076
2026.01.26 20:30:00|S|S2,2026-01-26 20:30:00,2026-01-26 20:30:00,S,post_n3,2,5056.165,5070.134,13.969000000000051,2026-01-26 21:30:00,5000.289,4.0R forced,55.876000000000204
2026.01.26 20:30:00|S|S3,2026-01-26 20:30:00,2026-01-26 20:30:00,S,post_n3,3,5056.165,5070.134,13.969000000000051,2026-01-27 01:00:00,5070.134,SL hit,-13.969000000000051
2026.01.27 15:00:00|S|S1,2026-01-27 15:00:00,2026-01-27 15:00:00,S,cross,1,5054.226,5078.106,23.88000000000011,2026-01-27 15:30:00,5078.106,SL hit,-23.88000000000011
2026.01.27 15:00:00|S|S2,2026-01-27 15:00:00,2026-01-27 15:00:00,S,cross,2,5054.226,5078.106,23.88000000000011,2026-01-27 15:30:00,5078.106,trail/SL hit,-23.88000000000011
2026.01.27 15:00:00|S|S3,2026-01-27 15:00:00,2026-01-27 15:00:00,S,cross,3,5054.226,5078.106,23.88000000000011,2026-01-27 15:30:00,5078.106,SL hit,-23.88000000000011
2026.01.27 15:30:00|S|S1,2026-01-27 15:30:00,2026-01-27 15:30:00,S,post_n2,1,5069.276,5074.486,5.210000000000036,2026-01-27 15:30:00,5074.486,SL hit,-5.210000000000036
2026.01.27 15:30:00|S|S2,2026-01-27 15:30:00,2026-01-27 15:30:00,S,post_n2,2,5069.276,5074.486,5.210000000000036,2026-01-27 15:30:00,5074.486,trail/SL hit,-5.210000000000036
2026.01.27 15:30:00|S|S3,2026-01-27 15:30:00,2026-01-27 15:30:00,S,post_n2,3,5069.276,5074.486,5.210000000000036,2026-01-27 15:30:00,5074.486,SL hit,-5.210000000000036
2026.02.05 02:00:00|S|S1,2026-02-05 02:00:00,2026-02-05 02:00:00,S,cross,1,4959.011,4980.155,21.143999999999323,2026-02-05 02:00:00,4927.295000000002,1.5R TP,31.715999999998985
2026.02.05 02:00:00|S|S2,2026-02-05 02:00:00,2026-02-05 02:00:00,S,cross,2,4959.011,4980.155,21.143999999999323,2026-02-05 02:30:00,4874.435000000003,4.0R forced,84.5759999999973
2026.02.05 02:00:00|S|S3,2026-02-05 02:00:00,2026-02-05 02:00:00,S,cross,3,4959.011,4980.155,21.143999999999323,2026-02-06 05:30:00,4897.571,M30 merged cross,61.44000000000051
2026.02.06 06:30:00|L|S1,2026-02-06 06:30:00,2026-02-06 06:30:00,L,post_n2,1,4853.694,4823.528,30.166000000000167,2026-02-06 12:00:00,4898.943000000001,1.5R TP,45.24900000000025
2026.02.06 06:30:00|L|S2,2026-02-06 06:30:00,2026-02-06 06:30:00,L,post_n2,2,4853.694,4823.528,30.166000000000167,2026-02-08 23:00:00,4974.358000000001,4.0R forced,120.66400000000067
2026.02.06 06:30:00|L|S3,2026-02-06 06:30:00,2026-02-06 06:30:00,L,post_n2,3,4853.694,4823.528,30.166000000000167,2026-02-10 01:00:00,5017.373,M30 merged cross,163.67899999999918
2026.02.10 01:30:00|S|S1,2026-02-10 01:30:00,2026-02-10 01:30:00,S,cross,1,5017.058,5046.605,29.54699999999957,2026-02-10 02:00:00,5046.605,SL hit,-29.54699999999957
2026.02.10 01:30:00|S|S2,2026-02-10 01:30:00,2026-02-10 01:30:00,S,cross,2,5017.058,5046.605,29.54699999999957,2026-02-10 02:00:00,5046.605,trail/SL hit,-29.54699999999957
2026.02.10 01:30:00|S|S3,2026-02-10 01:30:00,2026-02-10 01:30:00,S,cross,3,5017.058,5046.605,29.54699999999957,2026-02-10 02:00:00,5046.605,SL hit,-29.54699999999957
2026.02.10 16:00:00|S|S1,2026-02-10 16:00:00,2026-02-10 16:00:00,S,cross,1,5019.674,5042.991,23.317000000000007,2026-02-10 20:30:00,5042.991,SL hit,-23.317000000000007
2026.02.10 16:00:00|S|S2,2026-02-10 16:00:00,2026-02-10 16:00:00,S,cross,2,5019.674,5042.991,23.317000000000007,2026-02-10 20:30:00,5042.991,trail/SL hit,-23.317000000000007
2026.02.10 16:00:00|S|S3,2026-02-10 16:00:00,2026-02-10 16:00:00,S,cross,3,5019.674,5042.991,23.317000000000007,2026-02-10 20:30:00,5042.991,SL hit,-23.317000000000007
2026.02.10 16:30:00|S|S1,2026-02-10 16:30:00,2026-02-10 16:30:00,S,post_n2,1,5010.151,5037.907,27.756000000000313,2026-02-10 17:00:00,5037.907,SL hit,-27.756000000000313
2026.02.10 16:30:00|S|S2,2026-02-10 16:30:00,2026-02-10 16:30:00,S,post_n2,2,5010.151,5037.907,27.756000000000313,2026-02-10 17:00:00,5037.907,trail/SL hit,-27.756000000000313
2026.02.10 16:30:00|S|S3,2026-02-10 16:30:00,2026-02-10 16:30:00,S,post_n2,3,5010.151,5037.907,27.756000000000313,2026-02-10 17:00:00,5037.907,SL hit,-27.756000000000313
2026.02.10 17:00:00|S|S1,2026-02-10 17:00:00,2026-02-10 17:00:00,S,post_n3,1,5023.628,5036.814,13.186000000000604,2026-02-10 17:00:00,5036.814,SL hit,-13.186000000000604
