trade_key_x,signal_time_x,entry_time_x,dir_x,mode_x,stage_x,entry,stop,stop_distance,exit_time_x,exit_price,exit_reason,pnl_points,_key,signal_time_y,entry_time_y,dir_y,mode_y,stage_y,open_time,ea_entry,ea_stop,exit_time_y,ea_exit,ea_reason,ea_pnl,pnl_usd,virtual_balance,trade_key_y,_merge,diff_entry,diff_stop,diff_exit_price,diff_pnl_points
2025.08.29 14:30:00|L|S1,2025-08-29 14:30:00,2025-08-29 14:30:00,L,post_n3,1.0,3435.852,3413.916,21.93599999999969,2025-09-01 02:30:00,3479.7239999999997,2.0R TP,43.87199999999939,2025.08.29 14:30:00|L|S1,,,,,,,,,,,,,,,,left_only,,,,
2025.08.29 14:30:00|L|S2,2025-08-29 14:30:00,2025-08-29 14:30:00,L,post_n3,2.0,3435.852,3413.916,21.93599999999969,2025-09-01 12:00:00,3467.258526481475,trail/SL hit,31.40652648147534,2025.08.29 14:30:00|L|S2,,,,,,,,,,,,,,,,left_only,,,,
2025.08.29 14:30:00|L|S3,2025-08-29 14:30:00,2025-08-29 14:30:00,L,post_n3,3.0,3435.852,3413.916,21.93599999999969,2025-09-02 08:30:00,3477.567,M30 merged cross,41.71500000000015,2025.08.29 14:30:00|L|S3,,,,,,,,,,,,,,,,left_only,,,,
2025.08.29 15:00:00|L|S1,2025-08-29 15:00:00,2025-08-29 15:00:00,L,post_n4,1.0,3440.911,3415.996,24.914999999999964,2025-09-02 01:00:00,3490.741,2.0R TP,49.82999999999993,2025.08.29 15:00:00|L|S1,,,,,,,,,,,,,,,,left_only,,,,
2025.08.29 15:00:00|L|S2,2025-08-29 15:00:00,2025-08-29 15:00:00,L,post_n4,2.0,3440.911,3415.996,24.914999999999964,2025-09-02 06:00:00,3486.006511927568,trail/SL hit,45.09551192756817,2025.08.29 15:00:00|L|S2,,,,,,,,,,,,,,,,left_only,,,,
2025.08.29 15:00:00|L|S3,2025-08-29 15:00:00,2025-08-29 15:00:00,L,post_n4,3.0,3440.911,3415.996,24.914999999999964,2025-09-02 08:30:00,3477.567,M30 merged cross,36.65599999999995,2025.08.29 15:00:00|L|S3,,,,,,,,,,,,,,,,left_only,,,,
,,,,,,,,,,,,,2025.08.29 15:30:00|BUY|S2,2025.08.29 14:30,2025.08.29 15:30,BUY,post_n,2.0,2025.08.29 15:30,3444.785,3415.99555,2025.08.29 15:30,3445.494,M30 merged cross,0.709,0.709,532.12425,2025.08.29 15:30:00|BUY|S2,right_only,,,,
,,,,,,,,,,,,,2025.08.29 15:30:00|BUY|S3,2025.08.29 14:30,2025.08.29 15:30,BUY,post_n,3.0,2025.08.29 15:30,3444.785,3415.99555,2025.08.29 15:30,3445.494,M30 merged cross,0.709,1.0635,533.18775,2025.08.29 15:30:00|BUY|S3,right_only,,,,
2025.08.29 15:30:00|L|S1,2025-08-29 15:30:00,2025-08-29 15:30:00,L,post_n5,1.0,3444.785,3418.211,26.57400000000007,2025-09-02 01:30:00,3497.933,2.0R TP,53.14800000000014,2025.08.29 15:30:00|L|S1,,,,,,,,,,,,,,,,left_only,,,,
2025.08.29 15:30:00|L|S2,2025-08-29 15:30:00,2025-08-29 15:30:00,L,post_n5,2.0,3444.785,3418.211,26.57400000000007,2025-09-02 06:00:00,3486.006511927568,trail/SL hit,41.22151192756837,2025.08.29 15:30:00|L|S2,,,,,,,,,,,,,,,,left_only,,,,
