signal_bar_idx,entry_bar_idx,mode,dir,signal_time,entry_time,entry,stop,stop_source,stop_distance,planned_cross_idx,planned_exit_idx,exit_time_x,exit,exp_reason,exp_pnl,holding_bars,stop_hit,pnl_usd_001,risk_r,stop_pct_x,entry_time_n,key,entry_ea,stop_ea,stop_pct_y,exit_time_y,exit_price_ea,reason,pnl_ea,pnl_usd,virtual_balance,reason_ea,pnl_diff,entry_diff,exit_diff
4579,4580,cross,S,2022-10-31 06:00:00,2022-10-31 06:00:00,86.74,87.413,prev_segment_sma13_extreme,0.673,4594,4595,2022-11-01 06:00:00,87.413,stop,-0.673,13,True,-0.6730000000000002,-1.0,0.7758819460456537,2022-10-31 06:00:00,2022-10-31 06:00:00|S,86.74,87.4132,0.776,2022.11.01 06:00,87.4132,SL hit,-0.6732,-6.83732,676.89428,stop,0.00019999999999997797,0.0,0.0002000000000066393
4877,4878,pre_cross,S,2022-12-05 06:00:00,2022-12-05 06:00:00,80.655,80.871,prev_segment_sma13_extreme,0.216,4944,4945,2022-12-05 08:00:00,80.871,stop,-0.216,2,True,-0.216,-1.0,0.2678073275060443,2022-12-05 06:00:00,2022-12-05 06:00:00|S,80.655,80.87087,0.268,2022.12.05 08:00,80.87087,SL hit,-0.21587,-6.76894,670.12534,stop,0.00012999999999999123,0.0,0.0001299999999986312
5467,5468,pre_cross,S,2023-02-14 12:00:00,2023-02-14 12:00:00,79.193,79.297,prev_segment_sma13_extreme,0.104,5488,5489,2023-02-14 12:00:00,79.297,stop,-0.104,1,True,-0.104,-1.0,0.1313247382975768,2023-02-14 12:00:00,2023-02-14 12:00:00|S,79.193,79.29735,0.132,2023.02.14 12:00,79.29735,SL hit,-0.10435,-6.70125,663.42408,stop,0.0003500000000000031,0.0,0.00034999999999740794
5472,5473,cross,S,2023-02-14 22:00:00,2023-02-14 22:00:00,78.931,79.297,prev_segment_sma13_extreme,0.366,5488,5489,2023-02-15 18:00:00,79.297,stop,-0.366,11,True,-0.366,-1.0,0.4636961396662908,2023-02-14 22:00:00,2023-02-14 22:00:00|S,78.931,79.29735,0.464,2023.02.15 18:00,79.29735,SL hit,-0.36635,-6.63424,656.78984,stop,0.00035000000000001696,0.0,0.00034999999999740794
6272,6273,pre_cross,S,2023-05-19 16:00:00,2023-05-19 16:00:00,71.658,72.18,prev_segment_sma13_extreme,0.522,6286,6287,2023-05-22 14:00:00,72.18,stop,-0.522,12,True,-0.522,-1.0,0.728460185882944,2023-05-19 16:00:00,2023-05-19 16:00:00|S,71.658,72.1802,0.729,2023.05.22 14:00,72.1802,SL hit,-0.5222,-6.5679,650.22194,stop,0.00019999999999997797,0.0,0.00019999999999242846
6274,6275,cross,S,2023-05-19 20:00:00,2023-05-19 20:00:00,71.935,72.18,prev_segment_sma13_extreme,0.245,6286,6287,2023-05-22 14:00:00,72.18,stop,-0.245,10,True,-0.245,-1.0,0.3405852505734343,2023-05-19 20:00:00,2023-05-19 20:00:00|S,71.935,72.1802,0.341,2023.05.22 14:00,72.1802,SL hit,-0.2452,-6.50222,643.71972,stop,0.00020000000000000573,0.0,0.00019999999999242846
6409,6410,pre_cross,S,2023-06-06 06:00:00,2023-06-06 06:00:00,71.756,71.879,prev_segment_sma13_extreme,0.123,6424,6425,2023-06-06 14:00:00,71.879,stop,-0.123,5,True,-0.123,-1.0,0.1714142371369641,2023-06-06 06:00:00,2023-06-06 06:00:00|S,71.756,71.87934,0.172,2023.06.06 14:00,71.87934,SL hit,-0.12334,-6.4372,637.28253,stop,0.00034000000000000696,0.0,0.0003399999999942338
6533,6534,cross,S,2023-06-20 18:00:00,2023-06-20 18:00:00,70.752,71.185,prev_segment_sma13_extreme,0.433,6534,6535,2023-06-20 18:00:00,71.185,stop,-0.433,1,True,-0.433,-1.0,0.6119968340117594,2023-06-20 18:00:00,2023-06-20 18:00:00|S,70.752,71.18463,0.611,2023.06.20 18:00,71.18463,SL hit,-0.43263,-6.37283,630.9097,stop,0.00036999999999998145,0.0,0.0003700000000037562
6535,6536,pre_cross,S,2023-06-20 22:00:00,2023-06-20 22:00:00,70.829,71.055,prev_segment_sma13_extreme,0.226,6537,6538,2023-06-21 00:00:00,71.055,stop,-0.226,2,True,-0.226,-1.0,0.3190783436163154,2023-06-20 22:00:00,2023-06-20 22:00:00|S,70.829,71.05474,0.319,2023.06.21 00:00,71.05474,SL hit,-0.22574,-6.3091,624.6006,stop,0.0002600000000000102,0.0,0.0002600000000114733
6536,6537,cross,S,2023-06-21 00:00:00,2023-06-21 00:00:00,70.897,71.055,prev_segment_sma13_extreme,0.158,6537,6538,2023-06-21 00:00:00,71.055,stop,-0.158,1,True,-0.158,-1.0,0.2228585130541489,2023-06-21 00:00:00,2023-06-21 00:00:00|S,70.897,71.05474,0.222,2023.06.21 00:00,71.05474,SL hit,-0.15774,-6.24601,618.3546,stop,0.0002600000000000102,0.0,0.0002600000000114733
