signal_bar_idx,entry_bar_idx,mode,dir,signal_time,entry_time,entry,stop,stop_source,stop_distance,planned_cross_idx,planned_exit_idx,exit_time_x,exit,exp_reason,exp_pnl,holding_bars,stop_hit,pnl_usd_001,risk_r,stop_pct_x,entry_time_n,key,entry_ea,stop_ea,stop_pct_y,exit_time_y,exit_price_ea,reason,pnl_ea,pnl_usd,virtual_balance,reason_ea,pnl_diff,entry_diff,exit_diff
12156,12157,cross,S,2025-04-16 04:00:00,2025-04-16 04:00:00,60.523,60.875,prev_segment_sma13_extreme,0.352,12160,12161,2025-04-16 08:00:00,60.875,stop,-0.352,3,True,-0.352,-1.0,0.5815970787964906,2025-04-16 04:00:00,2025-04-16 04:00:00|S,60.523,60.8752,0.582,2025.04.16 08:00,60.8752,SL hit,-0.3522,-7.31768,724.45008,stop,0.00020000000000003348,0.0,0.00019999999999953388
13067,13068,cross,S,2025-08-01 12:00:00,2025-08-01 12:00:00,68.135,68.775,prev_segment_sma13_extreme,0.64,13149,13150,2025-08-01 12:00:00,68.775,stop,-0.64,1,True,-0.64,-1.0,0.9393116606736625,2025-08-01 12:00:00,2025-08-01 12:00:00|S,68.135,68.77455,0.939,2025.08.01 12:00,68.77455,SL hit,-0.63955,-7.2445,717.20558,stop,0.00045000000000006146,0.0,0.0004500000000007276
13270,13271,pre_cross,S,2025-08-26 10:00:00,2025-08-26 10:00:00,63.557,63.991,prev_segment_sma13_extreme,0.434,13295,13296,2025-08-26 14:00:00,63.991,stop,-0.434,3,True,-0.434,-1.0,0.6828516135122803,2025-08-26 10:00:00,2025-08-26 10:00:00|S,63.557,63.99091,0.683,2025.08.26 14:00,63.99091,SL hit,-0.43391,-7.17206,710.03353,stop,8.999999999997899e-05,0.0,9.000000000014552e-05
13469,13470,pre_cross,S,2025-09-18 02:00:00,2025-09-18 02:00:00,63.342,63.669,prev_segment_sma13_extreme,0.327,13475,13476,2025-09-18 08:00:00,63.669,stop,-0.327,4,True,-0.327,-1.0,0.5162451454011557,2025-09-18 02:00:00,2025-09-18 02:00:00|S,63.342,63.66881,0.516,2025.09.18 08:00,63.66881,SL hit,-0.32681,-7.10034,702.93319,stop,0.00019000000000002348,0.0,0.00018999999999635975
13472,13473,cross,S,2025-09-18 08:00:00,2025-09-18 08:00:00,63.325,63.669,prev_segment_sma13_extreme,0.344,13475,13476,2025-09-18 08:00:00,63.669,stop,-0.344,1,True,-0.344,-1.0,0.543229372285827,2025-09-18 08:00:00,2025-09-18 08:00:00|S,63.325,63.66881,0.543,2025.09.18 08:00,63.66881,SL hit,-0.34381,-7.02933,695.90386,stop,0.00018999999999996797,0.0,0.00018999999999635975
13476,13477,cross,S,2025-09-18 16:00:00,2025-09-18 16:00:00,63.454,63.601,prev_segment_sma13_extreme,0.147,13511,13512,2025-09-23 14:00:00,63.225,opposite_cross_next_open,0.229,35,False,0.229,1.5578231292517009,0.2316638824975573,2025-09-18 16:00:00,2025-09-18 16:00:00|S,63.454,63.60108,0.232,2025.09.23 14:00,63.225,opposite cross,0.229,10.83524,706.7391,opposite_cross_next_open,0.0,0.0,0.0
13556,13557,pre_cross,S,2025-09-29 08:00:00,2025-09-29 08:00:00,64.767,64.84,prev_segment_sma13_extreme,0.073,13615,13616,2025-10-06 06:00:00,61.495,opposite_cross_next_open,3.272,59,False,3.272,44.821917808219176,0.1127117204749332,2025-09-29 08:00:00,2025-09-29 08:00:00|S,64.767,64.83995,0.113,2025.10.06 06:00,61.495,opposite cross,3.272,316.96992,1023.70902,opposite_cross_next_open,0.0,0.0,0.0
13558,13559,cross,S,2025-09-29 12:00:00,2025-09-29 12:00:00,64.252,64.84,prev_segment_sma13_extreme,0.588,13615,13616,2025-10-06 06:00:00,61.495,opposite_cross_next_open,2.757,57,False,2.757,4.688775510204082,0.91514661022225,2025-09-29 12:00:00,2025-09-29 12:00:00|S,64.252,64.83995,0.915,2025.10.06 06:00,61.495,opposite cross,2.757,48.0031,1071.71212,opposite_cross_next_open,0.0,0.0,0.0
14107,14108,cross,S,2025-12-02 18:00:00,2025-12-02 18:00:00,58.757,59.122,prev_segment_sma13_extreme,0.365,14117,14118,2025-12-03 08:00:00,59.122,stop,-0.365,8,True,-0.365,-1.0,0.6212025801181136,2025-12-02 18:00:00,2025-12-02 18:00:00|S,58.757,59.12212,0.621,2025.12.03 08:00,59.12212,SL hit,-0.36512,-10.71712,1060.995,stop,0.00012000000000000899,0.0,0.0001200000000025625
14308,14309,pre_cross,S,2025-12-26 14:00:00,2025-12-26 14:00:00,57.931,58.178,prev_segment_sma13_extreme,0.247,14322,14323,2025-12-29 14:00:00,58.178,stop,-0.247,13,True,-0.247,-1.0,0.4263693014102985,2025-12-26 14:00:00,2025-12-26 14:00:00|S,57.931,58.1782,0.427,2025.12.29 14:00,58.1782,SL hit,-0.2472,-10.60995,1050.38505,stop,0.00020000000000000573,0.0,0.00019999999999953388
14799,14800,pre_cross,S,2026-02-24 16:00:00,2026-02-24 16:00:00,65.854,66.29,prev_segment_sma13_extreme,0.436,14832,14833,2026-02-24 20:00:00,66.29,stop,-0.436,3,True,-0.436,-1.0,0.6620706411151942,2026-02-24 16:00:00,2026-02-24 16:00:00|S,65.854,66.29042,0.663,2026.02.24 20:00,66.29042,SL hit,-0.43642,-10.50385,1039.8812,stop,0.00041999999999997595,0.0,0.0004199999999912052
14801,14802,cross,S,2026-02-24 20:00:00,2026-02-24 20:00:00,65.857,66.29,prev_segment_sma13_extreme,0.433,14832,14833,2026-02-24 20:00:00,66.29,stop,-0.433,1,True,-0.433,-1.0,0.6574851572346144,2026-02-24 20:00:00,2026-02-24 20:00:00|S,65.857,66.29042,0.658,2026.02.24 20:00,66.29042,SL hit,-0.43342,-10.39881,1029.48239,stop,0.00042000000000003146,0.0,0.0004199999999912052
15468,15469,pre_cross,S,2026-05-14 10:00:00,2026-05-14 10:00:00,96.918,97.272,prev_segment_sma13_extreme,0.354,15473,15474,2026-05-14 10:00:00,97.272,stop,-0.354,1,True,-0.354,-1.0,0.3652572277595493,2026-05-14 10:00:00,2026-05-14 10:00:00|S,96.918,97.27212,0.365,2026.05.14 10:00,97.27212,SL hit,-0.35412,-10.29482,1019.18757,stop,0.00012000000000000899,0.0,0.00011999999999545707
16242,16243,pre_cross,S,2026-08-13 08:00:00,2026-08-13 08:00:00,81.249,81.604,prev_segment_sma13_extreme,0.355,16261,16261,2026-08-13 14:00:00,81.604,stop,-0.355,4,True,-0.355,-1.0,0.4369284545040554,2026-08-13 08:00:00,2026-08-13 08:00:00|S,81.249,81.60387,0.437,2026.08.13 14:00,81.60387,SL hit,-0.35487,-10.19188,1008.99569,stop,0.00012999999999996348,0.0,0.0001299999999986312
