bar_time,close,m30_sma5,m30_sma13,m30_dist%,m30_cross,h2_dist%,h2_dir,signal
2026-06-10 06:00:00,4211.936,4195.98,4220.7,0.5891,NONE,1.3234,BULL,NO_SIGNAL
2026-06-10 06:30:00,4203.976,4197.579,4219.414,0.5202,NONE,1.3234,BULL,NO_SIGNAL
2026-06-10 07:00:00,4194.899,4197.043,4217.528,0.4881,NONE,1.3234,BULL,NO_SIGNAL
2026-06-10 07:30:00,4186.016,4194.838,4215.104,0.4831,NONE,1.3234,BULL,NO_SIGNAL
2026-06-10 08:00:00,4172.078,4190.286,4211.794,0.5133,NONE,1.3946,BULL,NO_SIGNAL
2026-06-10 08:30:00,4169.061,4186.041,4208.507,0.5367,NONE,1.3946,BULL,NO_SIGNAL
2026-06-10 09:00:00,4166.25,4182.083,4205.256,0.5541,NONE,1.3946,BULL,NO_SIGNAL
2026-06-10 09:30:00,4168.523,4179.371,4202.431,0.5518,NONE,1.3946,BULL,NO_SIGNAL
2026-06-10 10:00:00,4164.969,4176.49,4199.549,0.5521,NONE,1.4884,BULL,NO_SIGNAL
2026-06-10 10:30:00,4174.458,4176.084,4197.619,0.5157,NONE,1.4884,BULL,NO_SIGNAL
2026-06-10 11:00:00,4166.616,4174.19,4195.234,0.5041,NONE,1.4884,BULL,NO_SIGNAL
2026-06-10 11:30:00,4147.722,4168.897,4191.579,0.5441,NONE,1.4884,BULL,NO_SIGNAL
2026-06-10 12:00:00,4141.459,4163.409,4187.724,0.584,NONE,1.4404,BULL,NO_SIGNAL
2026-06-10 12:30:00,4146.777,4160.083,4184.574,0.5887,NONE,1.4404,BULL,NO_SIGNAL
2026-06-10 13:00:00,4149.504,4157.967,4181.876,0.575,NONE,1.4404,BULL,NO_SIGNAL
2026-06-10 13:30:00,4179.361,4162.246,4181.683,0.467,NONE,1.4404,BULL,NO_SIGNAL
2026-06-10 14:00:00,4160.95,4161.987,4180.088,0.4349,NONE,1.5355,BULL,NO_SIGNAL
2026-06-10 14:30:00,4124.67,4154.523,4175.825,0.5127,NONE,1.5355,BULL,NO_SIGNAL
2026-06-10 15:00:00,4127.666,4149.152,4172.121,0.5536,NONE,1.5355,BULL,NO_SIGNAL
2026-06-10 15:30:00,4128.597,4145.041,4168.773,0.5725,NONE,1.5355,BULL,NO_SIGNAL
2026-06-10 16:00:00,4127.621,4141.557,4165.607,0.5807,NONE,1.6339,BULL,NO_SIGNAL
2026-06-10 16:30:00,4122.135,4137.673,4162.263,0.5943,NONE,1.6339,BULL,NO_SIGNAL
2026-06-10 17:00:00,4111.074,4132.353,4158.326,0.6285,NONE,1.6339,BULL,NO_SIGNAL
2026-06-10 17:30:00,4111.714,4128.225,4154.74,0.6423,NONE,1.6339,BULL,NO_SIGNAL
2026-06-10 18:00:00,4112.506,4125.081,4151.491,0.6402,NONE,1.77,BULL,NO_SIGNAL
2026-06-10 18:30:00,4101.676,4120.4,4147.659,0.6616,NONE,1.77,BULL,NO_SIGNAL
2026-06-10 19:00:00,4084.529,4113.226,4142.803,0.7191,NONE,1.77,BULL,NO_SIGNAL
2026-06-10 19:30:00,4082.846,4107.15,4138.191,0.7558,NONE,1.77,BULL,NO_SIGNAL
2026-06-10 20:00:00,4078.365,4101.393,4133.589,0.785,NONE,1.8821,BULL,NO_SIGNAL
2026-06-10 20:30:00,4070.577,4095.23,4128.742,0.8183,NONE,1.8821,BULL,NO_SIGNAL
2026-06-10 22:00:00,4044.655,4085.115,4122.274,0.9096,NONE,2.0087,BULL,NO_SIGNAL
2026-06-10 22:30:00,4046.457,4077.383,4116.442,0.9579,NONE,2.0087,BULL,NO_SIGNAL
