bar_time,close,m30_sma5,m30_sma13,m30_diff,m30_dist%,m30_cross,h2_time,h2_sma5,h2_sma13,h2_diff,h2_dist%,h2_score,h2_dir,h2_cross,h2_tier,decision,lot_mul,skip_reason
2018-01-22 03:30:00,1331.23700,1332.00452,1332.73758,-0.73306,-0.05500,NONE,2018-01-22 03:30:00,1332.18446,1332.35572,-0.17126,-0.07112,-0.01285,BEAR,NONE,T1,SKIP,0.00,no_m30_cross
2018-01-22 04:00:00,1331.01400,1331.80642,1332.60499,-0.79858,-0.05993,NONE,2018-01-22 03:30:00,1332.18446,1332.35572,-0.17126,-0.08786,-0.01285,BEAR,NONE,T1,SKIP,0.00,no_m30_cross
2018-01-22 04:30:00,1331.52900,1331.75093,1332.52223,-0.77129,-0.05788,NONE,2018-01-22 03:30:00,1332.18446,1332.35572,-0.17126,-0.04920,-0.01285,BEAR,NONE,T1,SKIP,0.00,no_m30_cross
2018-01-22 05:00:00,1331.12500,1331.62575,1332.41475,-0.78900,-0.05922,NONE,2018-01-22 03:30:00,1332.18446,1332.35572,-0.17126,-0.07953,-0.01285,BEAR,NONE,T1,SKIP,0.00,no_m30_cross
2018-01-22 05:30:00,1331.71900,1331.64440,1332.36123,-0.71683,-0.05380,NONE,2018-01-22 05:30:00,1331.78057,1332.18720,-0.40663,-0.00462,-0.03052,BEAR,NONE,T0,SKIP,0.00,no_m30_cross
2018-01-22 06:00:00,1331.36300,1331.58812,1332.28444,-0.69632,-0.05227,NONE,2018-01-22 05:30:00,1331.78057,1332.18720,-0.40663,-0.03135,-0.03052,BEAR,NONE,T0,SKIP,0.00,no_m30_cross
2018-01-22 06:30:00,1328.83700,1331.03789,1332.01925,-0.98136,-0.07367,NONE,2018-01-22 05:30:00,1331.78057,1332.18720,-0.40663,-0.22103,-0.03052,BEAR,NONE,T0,SKIP,0.00,no_m30_cross
2018-01-22 07:00:00,1330.16500,1330.86332,1331.87662,-1.01330,-0.07608,NONE,2018-01-22 05:30:00,1331.78057,1332.18720,-0.40663,-0.12131,-0.03052,BEAR,NONE,T0,SKIP,0.00,no_m30_cross
2018-01-22 07:30:00,1331.30000,1330.95065,1331.83226,-0.88161,-0.06620,NONE,2018-01-22 07:30:00,1331.98226,1332.23349,-0.25124,-0.05122,-0.01886,BEAR,NONE,T1,SKIP,0.00,no_m30_cross
2018-01-22 08:00:00,1330.32900,1330.82632,1331.71663,-0.89031,-0.06685,NONE,2018-01-22 07:30:00,1331.98226,1332.23349,-0.25124,-0.12412,-0.01886,BEAR,NONE,T1,SKIP,0.00,no_m30_cross
2018-01-22 08:30:00,1332.19500,1331.10006,1331.75343,-0.65337,-0.04906,NONE,2018-01-22 07:30:00,1331.98226,1332.23349,-0.25124,0.01597,-0.01886,BEAR,NONE,T1,SKIP,0.00,no_m30_cross
2018-01-22 09:00:00,1332.78900,1331.43785,1331.83309,-0.39524,-0.02968,NONE,2018-01-22 07:30:00,1331.98226,1332.23349,-0.25124,0.06057,-0.01886,BEAR,NONE,T1,SKIP,0.00,no_m30_cross
2018-01-22 09:30:00,1332.50000,1331.65028,1331.88439,-0.23411,-0.01758,NONE,2018-01-22 09:30:00,1332.25541,1332.31923,-0.06382,0.01836,-0.00479,BEAR,NONE,T1,SKIP,0.00,no_m30_cross
2018-01-22 10:00:00,1333.29300,1331.97882,1331.99274,-0.01392,-0.00105,NONE,2018-01-22 09:30:00,1332.25541,1332.31923,-0.06382,0.07788,-0.00479,BEAR,NONE,T1,SKIP,0.00,no_m30_cross
2018-01-22 10:30:00,1333.58400,1332.29986,1332.11515,0.18471,0.01387,GOLDEN,2018-01-22 09:30:00,1332.25541,1332.31923,-0.06382,0.09973,-0.00479,BEAR,NONE,T1,BUY,0.30,
2018-01-22 11:00:00,1333.34800,1332.50949,1332.20998,0.29951,0.02248,NONE,2018-01-22 09:30:00,1332.25541,1332.31923,-0.06382,0.08201,-0.00479,BEAR,NONE,T1,SKIP,0.00,no_m30_cross
2018-01-22 11:30:00,1332.63800,1332.53519,1332.24291,0.29228,0.02194,NONE,2018-01-22 11:30:00,1332.36832,1332.35775,0.01058,0.02024,0.00079,BULL,GOLDEN,T1,SKIP,0.00,no_m30_cross
