signal_time,entry_time,dir,entry,stop,stop_pct,exit_time,exit_price,reason,pnl_points,pnl_usd,virtual_balance
2024.07.07 22:00,2024.07.08 00:00,SELL,82.63600,83.13611,0.605,2024.07.11 02:00,81.94100,opposite cross,0.69500,9.42491,687.62400
2024.08.14 14:00,2024.08.14 16:00,SELL,76.47000,77.20058,0.955,2024.08.15 14:00,77.20058,SL hit,-0.73058,-7.30576,680.31824
2024.08.28 02:00,2024.08.28 04:00,SELL,75.21500,75.77819,0.749,2024.08.29 12:00,75.77819,SL hit,-0.56319,-6.80318,673.51506
2024.09.18 18:00,2024.09.18 20:00,SELL,68.98000,69.32547,0.501,2024.09.19 00:00,69.32547,SL hit,-0.34547,-6.73515,666.77991
2024.09.19 00:00,2024.09.19 02:00,SELL,69.25500,69.32547,0.102,2024.09.19 02:00,69.32547,SL hit,-0.07047,-6.66780,660.11211
2024.10.14 04:00,2024.10.14 06:00,SELL,74.03700,74.49796,0.623,2024.10.21 18:00,70.19400,opposite cross,3.84300,55.03375,715.14586
2024.11.07 12:00,2024.11.07 14:00,SELL,71.02000,71.33093,0.438,2024.11.07 14:00,71.33093,SL hit,-0.31093,-7.15146,707.99440
2024.11.08 10:00,2024.11.08 12:00,SELL,71.14900,71.47545,0.459,2024.11.14 14:00,69.02000,opposite cross,2.12900,46.17288,754.16728
2024.12.17 08:00,2024.12.17 10:00,SELL,69.80200,70.21547,0.592,2024.12.18 08:00,70.21547,SL hit,-0.41347,-7.54167,746.62561
2025.04.15 14:00,2025.04.15 16:00,SELL,60.52500,60.87520,0.579,2025.04.15 16:00,60.87520,SL hit,-0.35020,-7.46626,739.15935
2025.04.16 00:00,2025.04.16 02:00,SELL,60.73200,60.87520,0.236,2025.04.16 08:00,60.87520,SL hit,-0.14320,-7.39159,731.76776
2025.04.16 02:00,2025.04.16 04:00,SELL,60.52300,60.87520,0.582,2025.04.16 08:00,60.87520,SL hit,-0.35220,-7.31768,724.45008
2025.08.01 10:00,2025.08.01 12:00,SELL,68.13500,68.77455,0.939,2025.08.01 12:00,68.77455,SL hit,-0.63955,-7.24450,717.20558
2025.08.26 08:00,2025.08.26 10:00,SELL,63.55700,63.99091,0.683,2025.08.26 14:00,63.99091,SL hit,-0.43391,-7.17206,710.03353
2025.09.18 00:00,2025.09.18 02:00,SELL,63.34200,63.66881,0.516,2025.09.18 08:00,63.66881,SL hit,-0.32681,-7.10034,702.93319
2025.09.18 06:00,2025.09.18 08:00,SELL,63.32500,63.66881,0.543,2025.09.18 08:00,63.66881,SL hit,-0.34381,-7.02933,695.90386
2025.09.18 14:00,2025.09.18 16:00,SELL,63.45400,63.60108,0.232,2025.09.23 14:00,63.22500,opposite cross,0.22900,10.83524,706.73910
2025.09.29 06:00,2025.09.29 08:00,SELL,64.76700,64.83995,0.113,2025.10.06 06:00,61.49500,opposite cross,3.27200,316.96992,1023.70902
2025.09.29 10:00,2025.09.29 12:00,SELL,64.25200,64.83995,0.915,2025.10.06 06:00,61.49500,opposite cross,2.75700,48.00310,1071.71212
2025.12.02 16:00,2025.12.02 18:00,SELL,58.75700,59.12212,0.621,2025.12.03 08:00,59.12212,SL hit,-0.36512,-10.71712,1060.99500
2025.12.26 12:00,2025.12.26 14:00,SELL,57.93100,58.17820,0.427,2025.12.29 14:00,58.17820,SL hit,-0.24720,-10.60995,1050.38505
2026.02.24 14:00,2026.02.24 16:00,SELL,65.85400,66.29042,0.663,2026.02.24 20:00,66.29042,SL hit,-0.43642,-10.50385,1039.88120
2026.02.24 18:00,2026.02.24 20:00,SELL,65.85700,66.29042,0.658,2026.02.24 20:00,66.29042,SL hit,-0.43342,-10.39881,1029.48239
2026.05.14 08:00,2026.05.14 10:00,SELL,96.91800,97.27212,0.365,2026.05.14 10:00,97.27212,SL hit,-0.35412,-10.29482,1019.18757
2026.08.13 06:00,2026.08.13 08:00,SELL,81.24900,81.60387,0.437,2026.08.13 14:00,81.60387,SL hit,-0.35487,-10.19188,1008.99569
